path,lane,category,evidence_strength,live_bytes,line_count,live_blob,recommended_action
docs/TRANSITION_MANIFEST.md,docs_governance,docs_transition_manifest,High,33891,433,b84d17dbf222054a8e6633d65e04fd3a9c21ea06,review_frontmatter_and_track_or_merge
docs/coordination/GENIUSTURTLE_NEXUS_ADAPTER_CONTRACT_2026-05-26.md,coordination,canonical_doc_candidate,High,2752,74,a221028ab24b2e19f5f71080a96fb4f29700c78f,review_frontmatter_and_track_or_merge
docs/coordination/NEXUS_STATE_DIGEST.json,coordination,canonical_doc_candidate,High,9396,140,2cc29d896aaaf28479644b8c30af0a80abc24436,review_frontmatter_and_track_or_merge
docs/coordination/NEXUS_TWAVE_QWAVE_DOPPELGROUND_GENIUSTURTLE_INTEGRATION_SCAN_2026-05-26.md,coordination,canonical_doc_candidate,High,7866,118,d35f356244f9300854cd6f023a95746553703a8f,review_frontmatter_and_track_or_merge
docs/coordination/NEXUS_VISIBLE_LAYERS_ACTIVE_INTEGRATION_BLUEPRINT_2026-05-26.md,coordination,canonical_doc_candidate,High,12443,265,fc3849b9daf07587dfd969fc7a508206dd00c082,review_frontmatter_and_track_or_merge
docs/coordination/NEXUS_VISIBLE_LAYERS_EXECUTION_PROGRESS_2026-05-26.md,coordination,canonical_doc_candidate,High,4531,88,1ac658a4e711c279ffc28111684bb74c52832765,review_frontmatter_and_track_or_merge
docs/coordination/QWAVE_TWAVE_ARTIFACT_LEDGER_2026-05-26.json,coordination,canonical_doc_candidate,High,58357,1868,d516a4752beeffd7c73c817aa6a56d9b2327b113,review_frontmatter_and_track_or_merge
docs/coordination/ZO_LONG_RUN_DIRECTIVE_2026-05-22.md,coordination,canonical_doc_candidate,High,4213,95,ac73b39b91695eba978b90fbff4378f8d3092ead,review_frontmatter_and_track_or_merge
docs/coordination/ZO_OPENCLAW_CONFUSION_HELP_PROMPT_2026-05-26.md,coordination,canonical_doc_candidate,High,7343,149,c6ff16904d97da5ea471f7e7e94e0a303d6eb638,review_frontmatter_and_track_or_merge
docs/coordination/ZO_OPENCLAW_MODELRELAY_DIGEST_2026-05-24.md,coordination,canonical_doc_candidate,High,12457,326,05854c2b3c58416d51f2a6d21715c16f0a0d880e,review_frontmatter_and_track_or_merge
docs/coordination/ZO_OPENCLAW_NEXT_SAFE_SLICE_2026-05-26.md,coordination,canonical_doc_candidate,High,4630,119,66b3e9813442628948f5dfa8614a4a7a88ea4925,review_frontmatter_and_track_or_merge
docs/coordination/ZO_OPENCLAW_REACHABILITY_AND_SWARM_WORKLOGS_2026-05-26.md,coordination,canonical_doc_candidate,High,6611,181,558ab05da08ce69b2c911295abc59078f2412ed9,review_frontmatter_and_track_or_merge
docs/coordination/multi-agent-grounding-report.md,coordination,canonical_doc_candidate,High,5671,109,7a766b28c0de38b3bed3973e29c9b95247db2ccb,review_frontmatter_and_track_or_merge
docs/coordination/multi-agent-sync-failure.md,coordination,canonical_doc_candidate,High,6953,225,865f9dcaaec81043bfe3eafb2a2e04a6ce779964,review_frontmatter_and_track_or_merge
docs/coordination/zo-coordination-README.md,coordination,canonical_doc_candidate,High,3702,90,a76381d90a09c4efb7c701705e60621e090263f4,review_frontmatter_and_track_or_merge
docs/governance/ACTIVATION_LANES.md,governance,canonical_doc_candidate,High,2331,52,2e59a15e37c4488a0e925b605f6d83993bba5600,review_frontmatter_and_track_or_merge
docs/governance/ENTERPRISE_GOVERNANCE_MODEL.md,governance,canonical_doc_candidate,High,27510,409,18210f242d4af9a92c8a2ee7fb91d71cfc9a59d9,review_frontmatter_and_track_or_merge
docs/governance/IMPROVEMENT_FRAMEWORK_V2.md,governance,canonical_doc_candidate,High,30180,449,e7943bb4544ab24548574cd6a09b62d8f9b57e95,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_AGENT_PROTOCOL.md,governance,canonical_doc_candidate,High,3258,76,fc1c06e05014bc596e4a0eb416173e6a84806987,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_CONSTITUTION.md,governance,canonical_doc_candidate,High,4241,70,aa29863aa4cc33b8450be515b5ef64a299894c43,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_GOVERNANCE_RECONCILE_2026-05.md,governance,canonical_doc_candidate,High,4663,57,c4f225dca127b3bf23cfdab502a07119d77af5de,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_MAIN_SOUL.md,governance,canonical_doc_candidate,High,6576,124,6c89b1149fc813bd04c55996d5d325f87c6281d9,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_OS_VISION_MANIFEST_2026.md,governance,canonical_doc_candidate,High,22544,453,ae79d336ae61d252114f617710c3d7f0df494231,review_frontmatter_and_track_or_merge
docs/governance/NEXUS_TRUST_MEMORY_CORE_PLAN_2026-06-03.md,governance,canonical_doc_candidate,High,2703,50,8e295e8683b9fc404d6fc73640fbc188d0709cd2,review_frontmatter_and_track_or_merge
docs/handbook/NOT_DOING_LIST.md,handbook,canonical_doc_candidate,High,5762,89,7931b10713406299d8aed6bb94c04347564beab6,review_frontmatter_and_track_or_merge
docs/handoff/cline-agent-review.md,needs_routing,docs_unsorted,Medium,9842,198,f41ae232666e6c13039b372e6efcd57ba982f412,route_via_transition_manifest
docs/handoff/recovery-intake-2026-06-05/curated/implementation_plan15.md,needs_routing,docs_unsorted,Medium,3878,70,e23bc86c1ee0f09dc5fb212fcc6a5d4e01395440,route_via_transition_manifest
docs/handoff/recovery-intake-2026-06-05/curated/supervisorJStext.txt,needs_routing,docs_unsorted,Medium,1532,62,e0086f06d54a5bf81a4b8ab308ec20b0e5ba67fa,route_via_transition_manifest
docs/handoff/recovery-intake-2026-06-05/curated/test_archivist_integrity-metaPYtext.txt,needs_routing,docs_unsorted,Medium,9681,251,b1c09e676393f06df42a3a6705023a2f44c87d35,route_via_transition_manifest
docs/operations/A2A_ZAPIER_MCP_INTEGRATION_ARCHITECTURE.md,operations,canonical_doc_candidate,High,34240,880,087147bf9f90dc2c569a13d60c00979140022fee,review_frontmatter_and_track_or_merge
docs/operations/AUTOMATION_AUDIT_2026-05-23.md,operations,canonical_doc_candidate,High,6002,102,edd33dc0e093c2c5cf08c4a57f41dd8e388ca3dc,review_frontmatter_and_track_or_merge
docs/operations/DEPLOYMENT_RUNBOOKS.md,operations,canonical_doc_candidate,High,21656,937,0338b06806b8fec9a32c234924200d65b8facfee,review_frontmatter_and_track_or_merge
docs/operations/FUSION_REALITY_CHECK.md,operations,canonical_doc_candidate,High,5839,103,a0f2a696a24b8db1adc9b346a06a7da85209207b,review_frontmatter_and_track_or_merge
docs/operations/INTERN_AI_PROVIDER_BOOT_2026-06-03.md,operations,canonical_doc_candidate,High,6526,174,dde2b0902635a9a283e67ec7af5fcb3410a29c27,review_frontmatter_and_track_or_merge
docs/operations/MCP_SETUP_GUIDE.md,operations,canonical_doc_candidate,High,11444,445,2983d089cb7baf2bdebe840a3c8f8a0f7f2434aa,review_frontmatter_and_track_or_merge
docs/operations/MIGRATION_STRATEGY_AZURE_TO_HYBRID.md,operations,canonical_doc_candidate,High,19755,606,a21cbd6ab9c7218e938014111f60c17508ff2de8,review_frontmatter_and_track_or_merge
docs/operations/NEXUS_DOCKER_MCP_SET1_ROADMAP.md,operations,canonical_doc_candidate,High,5321,178,3b87ffe8323f9deacf837971f7dad7d4b0607954,review_frontmatter_and_track_or_merge
