path,prefix,extension,live_bytes,snapshot_blob,live_blob,proposed_action,category,disposition,evidence_strength,rationale,exists_now,line_count_if_small,sha256_if_small_or_metadata
.agents/skills/onboardingv2/README.md,.agents,.md,5491,2197fbad4b29809999c068e354dd1d1c5457bf4c,77134803486a83e7dd950b624dd25bcfb544d6d5,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,92,72907f662ba1d7bf12b2374e7316542891925fb3c2e28e12c0c372e4dda40b5b
.agents/skills/onboardingv2/SKILL.md,.agents,.md,29362,36478305ae9e72c215826037b9b014f0609eb1db,d9630ed22adb5289e312c4cf93207224098f0941,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,483,6b2953011346835c1720140623c444099f211c5ed134236a31b1e8018f3b7a26
.agents/skills/onboardingv2/mcp-configure/SKILL.md,.agents,.md,14809,c4f6a8cb6fb94b9304c3d04417be7bd15fc7ee33,e8c02935fc9e3a160cad03cd8913fa264f2e43d8,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,191,524224125a8392c3b86bef7979c8c9059e60b2f9614a9f0e19eb6f82e0400110
.agents/skills/onboardingv2/mcp-configure/references/mcp-config-templates.md,.agents,.md,8242,dfe87436d9c0486521e772de8f1fd279eda6d166,20d4ac9ecf5d381d772008c8f5d1763101dc712a,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,323,9def2602bda39dfc36362e0c98d8e1fee73e2aff27fb5670a115801aef6a0511
.agents/skills/onboardingv2/mcp-configure/references/mcp-ui-links.md,.agents,.md,3693,5e059af7be0a6a6827942af587e64fbe9d0d49a8,ae9084cd7cd2479dcd731db267f227c14aa7ba53,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,32,e96b61275706c0b0ea93d749657cf0eb80916979ebd871422628307f80c085a2
.agents/skills/onboardingv2/references/1.8-summary.md,.agents,.md,7750,1ca75c3da7d3c84c2419d2ccf9ef77499157abb4,0dde834703de9ec85a64a226d40f64005376132e,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,139,f6f2c7251a3ce1e46c85bf88f4fe0fff927b503181ddfbe715c421f3fc626b4a
.agents/skills/onboardingv2/references/1.9-editor-rules.md,.agents,.md,10834,feedccc16cc81b69139dc50d1121e37e0f51723c,890c6de430a9b8731eb91584cb29e4e9e7b06247,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,173,cc2e2cf6e9f2e520bf83d974fdfe2b80bd60aeec37240d58d7e3297b2ecfb0ae
.agents/skills/onboardingv2/references/sdk/recipes.md,.agents,.md,24065,ff25a7993b876ecfebe2cf414698b79bc12a7832,1996d31b1784cf84de04799acabee8a0061e8e64,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,411,cee21253e5fbfac2d1943cefcb956167854c2bbc4f3a7a2a35d36afb06b68aa1
.agents/skills/onboardingv2/references/sdk/snippets/android-client-sdk.md,.agents,.md,4253,7434939fc0c4674afc16e5ef6dc09defa48bfdc2,5a0ed3dd07e3fc3fb1861090158bab9105488fe4,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,89,dcd0d0d7ec31c93829ecd0bc8500fc354cac3c6f3eb8f4c9dd9c96b2a85edee1
.agents/skills/onboardingv2/references/sdk/snippets/apex-server-sdk.md,.agents,.md,750,3a5e4aa7ac4df4a2fc8857bde627a79c2bd88eba,87139a35205d55091087d1053ee480a6a5f9f1a1,research_intake_archive_or_canonicalize,external_agent_skill_reference,archive_or_agent_skill_manifest,Medium,Third-party skill docs are useful reference material but not NEXUS canonical policy.,True,18,30d72709359d863388122be0663aed838a987664a96603c36a58ad4920579f07
