"Name","FullName","Extension","Length","LastWriteTime"
"NEXUS_MCP_Server_Phase6.zip","C:\Users\speci.000\Downloads\NEXUS_MCP_Server_Phase6.zip",".zip","21036","05/20/2026 7:00:12 AM"
"grokSKILL-MCPlog.txt","C:\Users\speci.000\Downloads\grokSKILL-MCPlog.txt",".txt","314378","05/20/2026 6:59:29 AM"
"clineMCPlog.txt","C:\Users\speci.000\Downloads\clineMCPlog.txt",".txt","356361","05/20/2026 6:31:11 AM"
"redisMEMORYservice.txt","C:\Users\speci.000\Downloads\redisMEMORYservice.txt",".txt","18223","05/20/2026 2:08:03 AM"
"HFways.txt","C:\Users\speci.000\Downloads\HFways.txt",".txt","71289","05/20/2026 1:40:31 AM"
"agentHARNESS.png","C:\Users\speci.000\Downloads\agentHARNESS.png",".png","1491826","05/20/2026 1:40:14 AM"
"codexCUTTEDoptimizationwork-02.txt","C:\Users\speci.000\Downloads\codexCUTTEDoptimizationwork-02.txt",".txt","1365404","05/19/2026 7:36:08 AM"
"DERDDRE-04.txt","C:\Users\speci.000\Downloads\DERDDRE-04.txt",".txt","65231","05/18/2026 11:14:15 PM"
"SLM-smol-research01.txt","C:\Users\speci.000\Downloads\SLM-smol-research01.txt",".txt","15557","05/18/2026 11:12:37 PM"
"memoryPLAN-01.md","C:\Users\speci.000\Downloads\memoryPLAN-01.md",".md","5171","05/18/2026 8:26:18 PM"
"AIKIDOsecuritytest-01.txt","C:\Users\speci.000\Downloads\AIKIDOsecuritytest-01.txt",".txt","21557","05/18/2026 12:43:54 PM"
"geminiresearch01.txt","C:\Users\speci.000\Downloads\geminiresearch01.txt",".txt","124274","05/18/2026 8:33:18 AM"
"SLMworkflowinference.png","C:\Users\speci.000\Downloads\SLMworkflowinference.png",".png","351364","05/18/2026 8:22:16 AM"
"MCPinspirations.txt","C:\Users\speci.000\Downloads\MCPinspirations.txt",".txt","9149","05/18/2026 7:31:15 AM"
"Nebiusrelated.txt","C:\Users\speci.000\Downloads\Nebiusrelated.txt",".txt","7774","05/18/2026 7:02:34 AM"
"PineConePackboot2.txt","C:\Users\speci.000\Downloads\PineConePackboot2.txt",".txt","2405","05/18/2026 1:28:38 AM"
"Visual ID workflow.png","C:\Users\speci.000\Downloads\Visual ID workflow.png",".png","226841","05/18/2026 12:06:45 AM"
"notionlog01.txt","C:\Users\speci.000\Downloads\notionlog01.txt",".txt","29903","05/17/2026 11:16:20 PM"
"Codex Installer.exe","C:\Users\speci.000\Downloads\Codex Installer.exe",".exe","1294880","05/17/2026 8:10:34 PM"
"CloudflareWORKERtest.txt","C:\Users\speci.000\Downloads\CloudflareWORKERtest.txt",".txt","15737","05/16/2026 3:57:33 PM"
"evoDivAgenticWorkflow.png","C:\Users\speci.000\Downloads\evoDivAgenticWorkflow.png",".png","444624","05/16/2026 11:45:28 AM"
"SLMworkflow.png","C:\Users\speci.000\Downloads\SLMworkflow.png",".png","248391","05/16/2026 11:45:04 AM"
"oldSLMexampletable.png","C:\Users\speci.000\Downloads\oldSLMexampletable.png",".png","178718","05/16/2026 11:44:37 AM"
"grok-video-01b2b33e-50bd-4e4e-9bcc-b395d0a5f6bd.mp4","C:\Users\speci.000\Downloads\grok-video-01b2b33e-50bd-4e4e-9bcc-b395d0a5f6bd.mp4",".mp4","13177482","05/16/2026 5:10:50 AM"
"grok-image-edc21dfe-2ba9-40f8-9735-a2c23b07e163.png","C:\Users\speci.000\Downloads\grok-image-edc21dfe-2ba9-40f8-9735-a2c23b07e163.png",".png","327839","05/16/2026 4:11:26 AM"
"grok-image-a00c1b0b-6c6b-4b46-ba8d-55adc8fdc8dd.png","C:\Users\speci.000\Downloads\grok-image-a00c1b0b-6c6b-4b46-ba8d-55adc8fdc8dd.png",".png","372126","05/16/2026 4:11:20 AM"
"grok-image-84fdbab9-ea14-48e8-84ae-697c69e02eb3.png","C:\Users\speci.000\Downloads\grok-image-84fdbab9-ea14-48e8-84ae-697c69e02eb3.png",".png","346192","05/16/2026 4:11:08 AM"
"NEXUS-IMAGINE-pipeline-RAW.txt","C:\Users\speci.000\Downloads\NEXUS-IMAGINE-pipeline-RAW.txt",".txt","207367","05/16/2026 12:57:22 AM"
"grok-d47d2036-42c3-4abd-b097-9a3f0046c5e5.jpg","C:\Users\speci.000\Downloads\grok-d47d2036-42c3-4abd-b097-9a3f0046c5e5.jpg",".jpg","624728","05/15/2026 11:13:51 PM"
"grok-492c8af5-a682-42c1-8a7d-e4f5b03f4e05.png","C:\Users\speci.000\Downloads\grok-492c8af5-a682-42c1-8a7d-e4f5b03f4e05.png",".png","391991","05/15/2026 11:13:48 PM"
"grok-85a82797-ba65-471e-9765-8ca224523492.jpg","C:\Users\speci.000\Downloads\grok-85a82797-ba65-471e-9765-8ca224523492.jpg",".jpg","723535","05/15/2026 11:13:45 PM"
"grok-07fec0fc-2eff-4eb7-94b7-bfb0ee92fdb7.jpg","C:\Users\speci.000\Downloads\grok-07fec0fc-2eff-4eb7-94b7-bfb0ee92fdb7.jpg",".jpg","486384","05/15/2026 11:13:42 PM"
"grok-3dec342f-1836-4ced-a35c-b41bf1f0da22.jpg","C:\Users\speci.000\Downloads\grok-3dec342f-1836-4ced-a35c-b41bf1f0da22.jpg",".jpg","382636","05/15/2026 11:13:40 PM"
