"TimeCreated","ProviderName","Id","LevelDisplayName","Message"
"05/18/2026 2:19:22 AM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.669.0) - Current Channel (Broad)"
"05/17/2026 2:14:06 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.661.0) - Current Channel (Broad)"
"05/17/2026 1:17:37 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.659.0) - Current Channel (Broad)"
"05/17/2026 1:09:29 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 2026-05 Security Update (KB5089549) (26200.8457)"
"05/17/2026 1:09:29 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Dell, Inc. Driver Update (11.50.1.7)"
"05/17/2026 4:17:40 AM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.654.0) - Current Channel (Broad)"
"05/17/2026 1:50:08 AM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.449.653.0) - Current Channel (Broad)"
"05/16/2026 4:19:42 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 9WZDNCRD29V9-MICROSOFT.MICROSOFTOFFICEHUB"
"05/16/2026 4:19:05 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE"
"05/16/2026 4:18:38 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 9NFTCH6J7FHV-Microsoft.PowerAutomateDesktop"
"05/16/2026 4:18:29 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 9P5Z076K079H-MicrosoftCorporationII.WinAppRuntime.Singleton"
"05/16/2026 4:18:25 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: 9NRZT3Q9R3DL-Microsoft.WindowsAppRuntime.2"
"05/16/2026 4:16:02 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (9.1.10009.1745)"
"05/16/2026 4:15:55 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (3.4.1005.0)"
"05/16/2026 4:15:51 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (3.4.1005.0)"
"05/16/2026 4:15:48 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (3.4.1006.0)"
"05/16/2026 4:15:45 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (1.2.1001.0)"
"05/16/2026 4:15:42 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel SoftwareComponent Driver Update (3.4.1005.0)"
"05/16/2026 4:15:39 PM","Microsoft-Windows-WindowsUpdateClient","19","Information","Installation Successful: Windows successfully installed the following update: Intel Driver Update (16.1.0.257)"
